Summary Statement of Account Limits for Accounts under Domestic Fund Pool of a Bank,,,,,,,,,,,
,,,,,,,,,,,
Region Code:,1111,,Branch Code:,1001,,2020/1/1,,Currency:,CNY,,Page 1
Account No.:,12345,,Account Name:,Main Bank A,,,,,,Agreement No.:,123123123
,,,,,,,,,,,
Index,Sub Account Name,,Yesterday Available Credit,Yesterday Reserved Credit,Yesterday Frozen Credit,,Total Debit Transactions,Total Debit Amount,,,Today Net Deposit Amount 
,Sub Account No.,,Today Available Credit,Today Reserved Credit,Today Frozen Credit,,Total Credit Transactions,Total Credit Amount,,,
"[7,0]","[7,1]",,"[7,3]","[7,4]","[7,5]",,"[7,7]","[7,8]",,,"[7,11]"
,"[8,1]",,"[8,3]","[8,4]","[8,5]",,"[8,7]","[8,8]",,,
"[9,0]","[9,1]",,"[9,3]","[9,4]","[9,5]",,"[9,7]","[9,8]",,,"[9,11]"
,"[10,1]",,"[10,3]","[10,4]","[10,5]",,"[10,7]","[10,8]",,,
"[11,0]","[11,1]",,"[11,3]","[11,4]","[11,5]",,"[11,7]","[11,8]",,,"[11,11]"
,"[12,1]",,"[12,3]","[12,4]","[12,5]",,"[12,7]","[12,8]",,,
"[13,0]","[13,1]",,"[13,3]","[13,4]","[13,5]",,"[13,7]","[13,8]",,,"[13,11]"
,"[14,1]",,"[14,3]","[14,4]","[14,5]",,"[14,7]","[14,8]",,,
"[15,0]","[15,1]",,"[15,3]","[15,4]","[15,5]",,"[15,7]","[15,8]",,,"[15,11]"
,"[16,1]",,"[16,3]","[16,4]","[16,5]",,"[16,7]","[16,8]",,,
"[17,0]","[17,1]",,"[17,3]","[17,4]","[17,5]",,"[17,7]","[17,8]",,,"[17,11]"
,"[18,1]",,"[18,3]","[18,4]","[18,5]",,"[18,7]","[18,8]",,,
"[19,0]","[19,1]",,"[19,3]","[19,4]","[19,5]",,"[19,7]","[19,8]",,,"[19,11]"
,"[20,1]",,"[20,3]","[20,4]","[20,5]",,"[20,7]","[20,8]",,,
"[21,0]","[21,1]",,"[21,3]","[21,4]","[21,5]",,"[21,7]","[21,8]",,,"[21,11]"
,"[22,1]",,"[22,3]","[22,4]","[22,5]",,"[22,7]","[22,8]",,,
"[23,0]","[23,1]",,"[23,3]","[23,4]","[23,5]",,"[23,7]","[23,8]",,,"[23,11]"
,"[24,1]",,"[24,3]","[24,4]","[24,5]",,"[24,7]","[24,8]",,,
"[25,0]","[25,1]",,"[25,3]","[25,4]","[25,5]",,"[25,7]","[25,8]",,,"[25,11]"
,"[26,1]",,"[26,3]","[26,4]","[26,5]",,"[26,7]","[26,8]",,,
